Rubio-Perez(2015)_181	Bailey(2018)_20	Bailey(2020)_34	PooledLUADdrivers_198	LUAD-Early_47	Remaining_151Drivers	F1CDx_324(Milbury2022)	Trueseq_48(Illumina)	Pancan_127(Kandoth2013)	FoundationOne_to299	Truseq_to47	PanCan_to121
ACAD8	ARID1A	AFF2	ACAD8	AFF2	ACAD8	ABL1	ABL1	ACVR1B	ABL1	ABL1	ACVR1B
ACO1	ATM	AMER1	ACO1	AMER1	ACO1	ACVR1B	AKT1	ACVR2A	ACVR1B	AKT1	ACVR2A
ACTG1	BRAF	ARID1A	ACTG1	ARID1A	ACTG1	AKT1	ALK	AJUBA	AKT1	ALK	AJUBA
ACTG2	CDKN2A	ASXL3	ACTG2	ASXL3	ACTG2	AKT2	APC	AKT1	AKT2	APC	AKT1
ACVR1B	CTNNB1	ATM	ACVR1B	ATM	ACVR1B	AKT3	ATM	APC	AKT3	ATM	APC
ACVR2A	EGFR	BRAF	ACVR2A	BAZ2B	ACVR2A	ALK	BRAF	AR	ALK	BRAF	AR
ADAM10	KEAP1	CDH12	ADAM10	BRAF	ADAM10	ALOX12B	CDH1	ARHGAP35	ALOX12B	CDH1	ARHGAP35
AFF4	KRAS	CDKN2A	AFF2	CDH12	AFF4	AMER1	CDKN2A	ARID1A	AMER1	CDKN2A	ARID1A
AKT1	MET	CTNNB1	AFF4	CDK12	AKT1	APC	CSF1R	ARID5B	APC	CSF1R	ARID5B
ARFGAP1	MGA	EGFR	AKT1	CDKN2A	ARFGAP1	AR	CTNNB1	ASXL1	AR	CTNNB1	ASXL1
ARHGAP26	NF1	FUT9	AMER1	COL1A1	ARHGAP26	ARAF	EGFR	ATM	ARAF	EGFR	ATM
ARID1A	PIK3CA	KEAP1	ARFGAP1	CREBBP	ATIC	ARFRP1	ERBB2	ATR	ARID1A	ERBB2	ATR
ATIC	RB1	KRAS	ARHGAP26	CTNNB1	ATP6AP2	ARID1A	ERBB4	ATRX	ASXL1	ERBB4	ATRX
ATP6AP2	RBM10	MET	ARID1A	DNMT3A	BAP1	ASXL1	FBXW7	AXIN2	ATM	FBXW7	AXIN2
BAP1	RIT1	MGA	ASXL3	EGFR	BLM	ATM	FGFR1	B4GALT3	ATR	FGFR1	B4GALT3
BAZ2B	SETD2	MMP16	ATIC	EIF4G1	BMPR2	ATR	FGFR2	BAP1	ATRX	FGFR2	BAP1
BLM	SMARCA4	NCAM1	ATM	EPHA4	BRWD1	ATRX	FGFR3	BRAF	AURKB	FGFR3	BRAF
BMPR2	STK11	NECAB1	ATP6AP2	FAT1	CAPN7	AURKA	FLT3	BRCA1	AXIN1	FLT3	BRCA1
BRAF	TP53	NF1	BAP1	FN1	CARM1	AURKB	GNA11	BRCA2	AXL	GNA11	BRCA2
BRWD1	U2AF1	PIK3CA	BAZ2B	KDR	CASP8	AXIN1	GNAQ	CBFB	BAP1	GNAQ	CCND1
CAPN7		PRKCB	BLM	KEAP1	CAT	AXL	GNAS	CCND1	BARD1	GNAS	CDH1
CARM1		PTPRD	BMPR2	KMT2A	CCAR1	BAP1	HNF1A	CDH1	BCL2	HNF1A	CDK12
CASP8		RB1	BRAF	KMT2C	CCT5	BARD1	HRAS	CDK12	BCL2L1	HRAS	CDKN1A
CAT		RBM10	BRWD1	KRAS	CDH1	BCL2	IDH1	CDKN1A	BCL6	IDH1	CDKN1B
CCAR1		RIT1	CAPN7	LPHN2	CDKN1B	BCL2L1	JAK2	CDKN1B	BCOR	JAK2	CDKN2A
CCT5		RYR2	CARM1	MAP3K4	CHD1L	BCL2L2	JAK3	CDKN2A	BCORL1	JAK3	CHEK2
CDH1		SETD2	CASP8	MET	CHEK2	BCL6	KDR	CDKN2C	BCR	KDR	CRIPAK
CDK12		SFTPB	CAT	MGA	CIC	BCOR	KIT	CEBPA	BRAF	KIT	CTCF
CDKN1B		SMARCA4	CCAR1	MMP16	CLASP2	BCORL1	KRAS	CHEK2	BRCA1	KRAS	CTNNB1
CDKN2A		SORCS3	CCT5	MMP2	CLSPN	BCR	MET	CRIPAK	BRCA2	MET	DNMT3A
CHD1L		SOX1	CDH1	NCAM1	CNOT3	BRAF	MLH1	CTCF	BRD4	MLH1	EGFR
CHEK2		STK11	CDH12	NF1	CNOT4	BRCA1	MPL	CTNNB1	BRIP1	MPL	EGR3
CIC		TP53	CDK12	NTRK2	COPS2	BRCA2	NOTCH1	DNMT3A	BTG1	NOTCH1	EIF4A2
CLASP2		U2AF1	CDKN1B	NUP98	CRNKL1	BRD4	NPM1	EGFR	BTG2	NPM1	ELF3
CLSPN			CDKN2A	PIK3CA	CSNK1G3	BRIP1	NRAS	EGR3	BTK	NRAS	EP300
CNOT3			CHD1L	PRKCB	CTCF	BTG1	PDGFRA	EIF4A2	C11orf30	PDGFRA	EPHA3
CNOT4			CHEK2	PTPRD	CUL2	BTG2	PIK3CA	ELF3	CALR	PIK3CA	EPHB6
COL1A1			CIC	RB1	CUL3	BTK	PTEN	EP300	CARD11	PTEN	EPPK1
COPS2			CLASP2	RBM10	CYLD	C11orf30	PTPN11	EPHA3	CASP8	PTPN11	ERBB4
