Edge1-Edge2	KappaScore
GO:0016571 (term-term) GO:0007492	0.4186046511627906
GO:0018024 (term-term) GO:0016571	0.603174603174603
GO:0031058 (term-term) GO:0003720	0.404761904761905
GO:0031058 (term-term) GO:0016571	0.504950495049505
GO:0032212 (term-term) GO:0003720	0.8344370860927152
GO:0035987 (term-term) GO:0007492	0.864864864864865
GO:0048708 (term-term) GO:0008542	0.5033112582781456
GO:0051571 (term-term) GO:0007492	0.41176470588235264
GO:0051571 (term-term) GO:0016571	0.603174603174603
GO:0051571 (term-term) GO:0031058	0.8344370860927152
GO:0071229 (term-term) GO:0060323	0.41176470588235264
GO:0090343 (term-term) GO:0010661	0.621212121212121
GO:1902895 (term-term) GO:0031058	0.5033112582781456
GO:2000772 (term-term) GO:0010661	0.621212121212121
GO:2000772 (term-term) GO:0090343	1.0
