NAME	telomerase activity	MAP kinase kinase kinase activity	endoderm development	visual learning	positive regulation of muscle cell apoptotic process	histone methylation	histone-lysine N-methyltransferase activity	positive regulation of transforming growth factor beta receptor signaling pathway	positive regulation of histone modification	positive regulation of telomere maintenance via telomerase	endodermal cell differentiation	astrocyte differentiation	positive regulation of histone H3-K4 methylation	head morphogenesis	cellular response to acid chemical	positive regulation of cell aging	positive regulation of pri-miRNA transcription by RNA polymerase II	positive regulation of gene silencing by miRNA	regulation of cellular senescence
telomerase activity	1.0	0.17218543046357648	0.05405405405405376	-0.1589403973509933	0.17218543046357648	0.009900990099009844	-0.1589403973509933	-0.1589403973509933	0.404761904761905	0.8344370860927152	0.10714285714285768	-0.1904761904761906	0.17218543046357648	-0.1589403973509933	-0.21621621621621692	0.17218543046357648	0.17218543046357648	0.17218543046357648	0.17218543046357648
MAP kinase kinase kinase activity	0.17218543046357648	1.0	-0.17647058823529482	0.24242424242424299	-0.13636363636363602	-0.19047619047619085	-0.13636363636363602	-0.13636363636363602	-0.1589403973509933	0.24242424242424299	-0.1589403973509933	0.17218543046357648	-0.13636363636363602	0.24242424242424299	-0.17647058823529482	-0.13636363636363602	-0.13636363636363602	0.24242424242424299	-0.13636363636363602
endoderm development	0.05405405405405376	-0.17647058823529482	1.0	-0.17647058823529482	-0.17647058823529482	0.4186046511627906	0.11764705882352951	0.11764705882352951	0.3243243243243242	0.11764705882352951	0.864864864864865	-0.21621621621621692	0.41176470588235264	0.11764705882352951	-3.469446951953616E-16	-0.17647058823529482	0.11764705882352951	-0.17647058823529482	-0.17647058823529482
visual learning	-0.1589403973509933	0.24242424242424299	-0.17647058823529482	1.0	-0.13636363636363602	-0.19047619047619085	-0.13636363636363602	-0.13636363636363602	-0.1589403973509933	-0.13636363636363602	-0.1589403973509933	0.5033112582781456	-0.13636363636363602	0.24242424242424299	-0.17647058823529482	0.24242424242424299	-0.13636363636363602	-0.13636363636363602	0.24242424242424299
positive regulation of muscle cell apoptotic process	0.17218543046357648	-0.13636363636363602	-0.17647058823529482	-0.13636363636363602	1.0	-0.19047619047619085	-0.13636363636363602	-0.13636363636363602	0.17218543046357648	-0.13636363636363602	-0.1589403973509933	-0.1589403973509933	-0.13636363636363602	-0.13636363636363602	-0.17647058823529482	0.621212121212121	0.24242424242424299	0.24242424242424299	0.621212121212121
histone methylation	0.009900990099009844	-0.19047619047619085	0.4186046511627906	-0.19047619047619085	-0.19047619047619085	1.0	0.603174603174603	0.33862433862433816	0.504950495049505	0.07407407407407401	0.2574257425742573	-0.23762376237623753	0.603174603174603	-0.19047619047619085	-0.27906976744186085	-0.19047619047619085	0.07407407407407401	-0.19047619047619085	-0.19047619047619085
histone-lysine N-methyltransferase activity	-0.1589403973509933	-0.13636363636363602	0.11764705882352951	-0.13636363636363602	-0.13636363636363602	0.603174603174603	1.0	-0.13636363636363602	0.17218543046357648	-0.13636363636363602	0.17218543046357648	-0.1589403973509933	0.24242424242424299	-0.13636363636363602	-0.17647058823529482	-0.13636363636363602	-0.13636363636363602	-0.13636363636363602	-0.13636363636363602
positive regulation of transforming growth factor beta receptor signaling pathway	-0.1589403973509933	-0.13636363636363602	0.11764705882352951	-0.13636363636363602	-0.13636363636363602	0.33862433862433816	-0.13636363636363602	1.0	0.17218543046357648	-0.13636363636363602	-0.1589403973509933	-0.1589403973509933	0.24242424242424299	-0.13636363636363602	-0.17647058823529482	-0.13636363636363602	0.24242424242424299	-0.13636363636363602	-0.13636363636363602
positive regulation of histone modification	0.404761904761905	-0.1589403973509933	0.3243243243243242	-0.1589403973509933	0.17218543046357648	0.504950495049505	0.17218543046357648	0.17218543046357648	1.0	0.17218543046357648	0.10714285714285768	-0.1904761904761906	0.8344370860927152	-0.1589403973509933	-0.21621621621621692	0.17218543046357648	0.5033112582781456	0.17218543046357648	0.17218543046357648
positive regulation of telomere maintenance via telomerase	0.8344370860927152	0.24242424242424299	0.11764705882352951	-0.13636363636363602	-0.13636363636363602	0.07407407407407401	-0.13636363636363602	-0.13636363636363602	0.17218543046357648	1.0	0.17218543046357648	-0.1589403973509933	0.24242424242424299	-0.13636363636363602	-0.17647058823529482	-0.13636363636363602	-0.13636363636363602	-0.13636363636363602	-0.13636363636363602
