ID	Ontology Source	Term	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Bonferroni step down	Group PValue	Group PValue Corrected with Bonferroni step down	Associated Genes Found	All Associated Genes	OverViewTerm
GO:0003720	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	telomerase activity	[8, 9, 10]	[Group5, Group7]	4	6.779661	1.6504575000829004E-5	2.1455947501077704E-4	{Group5=4.485161878116963E-6, Group7=1.0083640189361202E-10}	{Group5=2.691097126870178E-5, Group7=8.066912151488962E-10}	[ATM, CTNNB1, MAP3K4, TP53]	[ACD, ATM, AURKB, CCT2, CCT4, CERS1, CTNNB1, DKC1, ERCC4, GDF1, GREM1, GRHL2, HMBOX1, HNRNPA2B1, HNRNPD, HSP90AA1, HSP90AB1, KLF4, MAP2K7, MAP3K4, MAPK1, MAPK15, MAPK3, MAPKAPK5, MEN1, MYC, NABP2, NAF1, NEK2, NEK7, NVL, PARM1, PARN, PARP3, PARP4, PIF1, PINX1, PKIB, PNKP, POT1, PPARG, PRKCQ, PTEN, PTGES3, SMG6, SRC, TCP1, TEN1, TEN1-CDK3, TENM1, TEP1, TERF1, TERF2, TERT, TNIP1, TNKS, TP53, WRAP53, XRCC5]	TRUE
GO:0004709	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	MAP kinase kinase kinase activity	[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[Group0]	3	7.5	1.5259251455612506E-4	7.629625727806253E-4	{Group0=1.5259251455612506E-4}	{Group0=1.5259251455612506E-4}	[BRAF, EGFR, MAP3K4]	[ARAF, BRAF, DAB2IP, EGFR, GADD45A, GADD45B, GADD45G, KSR1, MAP3K1, MAP3K10, MAP3K11, MAP3K12, MAP3K13, MAP3K14, MAP3K15, MAP3K2, MAP3K20, MAP3K21, MAP3K3, MAP3K4, MAP3K5, MAP3K6, MAP3K7, MAP3K8, MAP3K9, MAP4K1, MAP4K2, MAP4K3, MAP4K5, MLKL, MOCOS, MOS, RAF1, RIPK1, RIPK2, RNASE3, TAB1, TAOK2, TNF, TRAF7]	TRUE
GO:0007492	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	endoderm development	[4]	[Group7]	5	6.097561	2.2539128098486558E-6	4.0570430577275806E-5	{Group7=1.0083640189361202E-10}	{Group7=8.066912151488962E-10}	[CTNNB1, FN1, MMP2, SETD2, SMAD4]	[APELA, ARC, BMP4, BMPR1A, BPTF, CDC73, COL11A1, COL12A1, COL4A2, COL5A1, COL5A2, COL6A1, COL7A1, COL8A1, CTNNB1, CTR9, DKK1, DUSP1, DUSP12, DUSP2, DUSP4, DUSP5, EOMES, EPB41L5, EXT1, FGF8, FN1, GATA4, GATA6, HDAC1, HMGA2, HOXC11, HSBP1, INHBA, ITGA4, ITGA5, ITGA7, ITGAV, ITGB2, ITGB5, KIF16B, LAMA3, LAMA4, LAMB1, LAMB3, LAMC1, LDB1, LDB2, LEO1, LHX1, MACROH2A1, MED12, MESP1, MIXL1, MMP14, MMP15, MMP2, MMP8, MMP9, NKX2-1, NODAL, NOG, NOL3, NOTCH1, ONECUT1, PAF1, PAX9, PELO, PEX2, RTF1, SETD2, SMAD2, SMAD3, SMAD4, SOX17, SOX7, SSBP3, TBX20, TGFB1, VTN, WNT8A, ZFP36L1]	TRUE
GO:0008542	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	visual learning	[3, 5, 6, 8]	[Group3]	3	5.882353	3.152469152607479E-4	3.152469152607479E-4	{Group3=2.584271796339485E-5}	{Group3=1.2921358981697424E-4}	[BRAF, KRAS, NF1]	[ABCA7, ABCC8, APP, ATP1A2, B4GALT2, BRAF, BSG, CCK, CDK5, CHRNB2, CREB1, CTNS, DBH, DDHD2, DHX34, DHX8, DRD1, DRD2, DRD3, FOXB1, GPRIN1, GRIN1, GRIN2A, HIF1A, HMGCR, HRH1, IFT20, ITGB1, KIT, KRAS, LRCH4, LRRN4, MECP2, MEIS2, MTOR, NDRG4, NETO1, NF1, NPS, NPTN, PIAS1, PPP1R1B, RAG1, RGS14, RIC8A, RIPK2, SLC7A11, SYNGAP1, TAFA2, TANC1, TTC36]	TRUE
GO:0010661	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	positive regulation of muscle cell apoptotic process	[6, 7, 8]	[Group6]	3	10.714286	5.171676006668003E-5	6.206011208001604E-4	{Group6=3.4439537312947235E-5}	{Group6=1.3775814925178894E-4}	[CDKN2A, RBM10, TP53]	[AGT, AGXT, ARRB1, BNIP3, CAMK2A, CAMK2D, CAPN2, CDKN2A, CXCR2, E2F3, HMGCR, IFNG, IL12A, IL12B, LTK, MAP2K4, MAP3K5, MFN2, PDCD4, POU4F2, PPARG, PTEN, RBM10, SOD2, SOD2-OT1, STK4, TIGAR, TP53]	FALSE
GO:0016571	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	histone methylation	[5, 6, 7, 8, 9]	[Group7]	6	4.0	2.4093569130266727E-6	4.0959067521453434E-5	{Group7=1.0083640189361202E-10}	{Group7=8.066912151488962E-10}	[CREBBP, CTNNB1, KMT2A, KMT2C, SETD2, SMAD4]	[AASS, ARID4A, ASH1L, ASH2L, ATRX, BCOR, BEND3, BRCA1, BRD4, CARM1, CHD5, CHD6, CHTOP, COPRS, CREBBP, CTCF, CTCFL, CTNNB1, CTR9, CXXC1, DMRTC2, DNMT1, DNMT3B, DOT1L, DPY30, DYDC1, DYDC2, EED, EHMT1, EHMT2, EZH1, EZH2, EZHIP, FAM47E, FAM47E-STBD1, FBL, FBLL1, GATA3, GCG, GET1, GFI1, H1-2, H1-5, INSL3, INSL6, IWS1, JARID2, KALRN, KDM1A, KDM3A, KDM4A, KDM4B, KDM4D, KDM6A, KMT2A, KMT2B, KMT2C, KMT2D, KMT2E, KMT5A, KMT5B, KMT5C, KPNA7, LMNA, LRIF1, MACROH2A1, MECOM, MECP2, MEN1, MLLT6, MTF2, MTHFR, MYB, N6AMT1, NELFA, NELFE, NR1H4, NSD1, NSD2, NSD3, NTMT1, OGT, PAF1, PAGR1, PAX5, PAXBP1, PAXIP1, PEX2, PHF1, PHF19, PIH1D1, PRDM12, PRDM14, PRDM16, PRDM2, PRDM4, PRDM5, PRDM6, PRDM7, PRDM9, PRMT1, PRMT2, PRMT5, PRMT6, PRMT7, PRMT8, PWP1, PYGO2, RBBP5, RIF1, RLF, RNF20, RTF1, SETD1A, SETD1B, SETD2, SETD3, SETD4, SETD5, SETD6, SETD7, SETDB1, SETDB2, SETMAR, SIRT1, SIRT7, SMAD4, SMARCB1, SMYD1, SMYD2, SMYD3, SMYD5, SNW1, SUPT6H, SUV39H1, SUV39H2, SUZ12, TET1, TET2, TET3, TRMT112, TTLL12, WDR5, WDR5B, WDR61, WDR82, WDR82P1, ZNF274, ZNF304, ZNF335]	FALSE
GO:0018024	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	histone-lysine N-methyltransferase activity	[7, 8, 9, 10, 11]	[Group7]	3	6.382979	2.4725741501743553E-4	4.945148300348711E-4	{Group7=1.0083640189361202E-10}	{Group7=8.066912151488962E-10}	[KMT2A, KMT2C, SETD2]	[ASH1L, ASH2L, CXXC1, DOT1L, EED, EHMT1, EHMT2, EZH1, EZH2, KMT2A, KMT2B, KMT2C, KMT2D, KMT2E, KMT5A, KMT5B, KMT5C, MECOM, MEN1, N6AMT1, NSD1, NSD2, NSD3, PRDM16, PRDM7, PRDM9, RBBP5, SETD1A, SETD1B, SETD2, SETD3, SETD4, SETD5, SETD7, SETDB1, SETDB2, SETMAR, SMYD1, SMYD2, SMYD3, SMYD5, SUV39H1, SUV39H2, TTLL12, WDR5, WDR82, WDR82P1]	FALSE
GO:0030511	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	positive regulation of transforming growth factor beta receptor signaling pathway	[4, 5, 6, 7, 8, 9, 10]	[Group2]	3	8.823529	9.343773254252052E-5	8.409395928826846E-4	{Group2=9.343773254252052E-5}	{Group2=1.8687546508504104E-4}	[CREBBP, SMAD4, STK11]	[ADAM17, C20orf27, CDKN1C, CDKN2B, CITED1, CITED2, CREBBP, DAB2, EP300, FERMT1, FLCN, GIPC1, GOLT1A, GOLT1B, GOT1, HIPK2, HSP90AB1, ING2, ING3, INGX, LRG1, MEN1, MYOCD, NPNT, RNF111, SDCBP, SLC2A10, SMAD4, SNW1, STK11, TGFB1I1, TGFBR3, THBS1, ZEB2]	TRUE
GO:0031058	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	positive regulation of histone modification	[6, 7, 8, 9, 10]	[Group5, Group7]	4	4.040404	1.2650887290450527E-4	8.855621103315369E-4	{Group5=4.485161878116963E-6, Group7=1.0083640189361202E-10}	{Group5=2.691097126870178E-5, Group7=8.066912151488962E-10}	[CTNNB1, KMT2A, SMAD4, TP53]	[AKAP8, AKAP8L, APLNR, ARRB1, BCL6, BRCA1, BRD4, BRD7, C6orf89, CCNB1, CDK9, CHTOP, CTBP1, CTNNB1, CTR9, DMRTC2, DNMT1, DNMT3B, FAM47E, FAM47E-STBD1, FMR1, FMR1-IT1, FOXP3, FRAXA, GATA3, GCG, GLYR1, H1-5, IL1B, ING2, ING3, INGX, INSL6, ISL1, JARID2, JDP2, KAT2A, KAT7, KMT2A, KMT2E, KPNA7, LIF, LMNA, LRIF1, LRRK2, MAPK3, MECP2, MTF2, MUC1, MYB, NANOS1, NAP1L2, NELFA, NELFE, NIPBL, NOS1, NSD3, OGT, PAF1, PAXBP1, PAXIP1, PEX2, PHF1, PHF19, PIH1D1, PINK1, PIWIL2, PPARGC1A, PRDM12, PRDM9, PRKD1, PRKD2, RIF1, RNF20, RNF40, RPS6KA4, RPS6KA5, RTF1, RUVBL2, SART3, SDR16C5, SIRT1, SMAD4, SMARCB1, SNW1, SPHK2, SREBF1, TADA2A, TADA2B, TET1, TGFB1, TP53, UBE2N, VEGFA, WBP2, WDR5, WDR61, ZBTB7B, ZNF304]	FALSE
GO:0032212	GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_13.05.2021_00h00	positive regulation of telomere maintenance via telomerase	[6, 7, 8, 9, 10, 11]	[Group5]	3	7.894737	1.3076677344503676E-4	7.846006406702205E-4	{Group5=4.485161878116963E-6}	{Group5=2.691097126870178E-5}	[ATM, CTNNB1, MAP3K4]	[ACD, ANTXR1, ATM, ATR, AURKB, CCT2, CCT3, CCT4, CCT5, CCT6A, CCT7, CCT8, CTNNB1, DKC1, FBXO4, HMBOX1, HNRNPA1, MAP2K7, MAP3K4, MAPK1, MAPK15, MAPK3, MAPKAPK5, MMAB, NAF1, NEK2, NEK7, PARN, PKIB, PNKP, POT1, PRKCQ, SERPINA2, TCP1, TNIP1, TNKS, TNKS2, XRCC5]	FALSE
