HallmarkCan_1711	Vogelstein_138	Sanger_2369	COSMIC_595
A2M	ABL1	ABCB1	ABI1
ABCB1	ACVR1B	ABL2	ABL1
ABCB11	AKT1	ACACA	ABL2
ABCB4	ALK	ACAD8	ACKR3
ABCC1	AMER1	ACAD8	ACSL3
ABCC3	APC	ACAD8	ACSL6
ABCF1	AR	ACAD8	ACVR1
ABL1	ARID1A	ACAD8	AFF1
ABL2	ARID1B	ACO1	AFF3
ACAA1	ARID2	ACO1	AFF4
ACADL	ASXL1	ACO1	AKAP9
ACADM	ATM	ACO1	AKT1
ACD	ATRX	ACO1	AKT2
ACOX1	AXIN1	ACO1	ALDH2
ACOX2	B2M	ACO1	ALK
ACOX3	BAP1	ACO1	AMER1
ACP1	BCL2	ACO1	APC
ACSL1	BCOR	ACSL3	AR
ACSL3	BRAF	ACSL6	ARHGAP26
ACSL4	BRCA1	ACSL6	ARHGEF12
ACSL5	BRCA2	ACSL6	ARID1A
ACSL6	CARD11	ACSL6	ARID1B
ACSS1	CASP8	ACSL6	ARID2
ACSS2	CBL	ACSL6	ARNT
ACTB	CCND1	ACTB	ASPSCR1
ACTG1	CDC73	ACTB	ASXL1
ACTN1	CDH1	ACTB	ATF1
ACTN2	CDKN2A	ACTB	ATIC
ACTN3	CDKN2C	ACTB	ATM
ACTN4	CEBPA	ACTG1	ATP1A1
ACVR1	CIC	ACTG1	ATP2B3
ACVR1B	CREBBP	ACTG1	ATR
ACVR1C	CRLF2	ACTG1	ATRX
ACVR2A	CSF1R	ACTG1	AXIN1
ACVR2B	CTNNB1	ACTG1	AXIN2
ADGRB1	CYLD	ACTG1	BAP1
ADGRE5	DAXX	ACTG2	BCL10
ADH1A	DNMT1	ACTG2	BCL11A
ADH1B	DNMT3A	ACTG2	BCL11B
ADH1C	EGFR	ACTG2	BCL2
ADH4	EP300	ACVR1B	BCL3
ADH5	ERBB2	ACVR1B	BCL5
ADH6	EZH2	ACVR1B	BCL6
ADH7	FBXW7	ACVR1B	BCL7A
