ARID1A,RB1,NF1,ASXL3,PTPRD,RYR2,TP53,,,,,,,,
FN1,CDK12,KMT2A,TP53,,,,,,,,,,,
MMP2,COL1A1,AMER1,BRAF,MMP16,NF1,KMT2C,PTPRD,RYR2,TP53,,,,,
PIK3CA,CDKN2A,EGFR,TP53,,,,,,,,,,,
EGFR,SORCS3,RYR2,TP53,,,,,,,,,,,
MET,AFF2,KMT2C,TP53,,,,,,,,,,,
MGA,EGFR,TP53,,,,,,,,,,,,
SETD2,FAT1,SVEP1,STK11,TP53,,,,,,,,,,
CDK12,RB1,SETD2,BRAF,AFF2,KMT2C,ASXL3,PTPRD,TP53,,,,,,
SORCS3,CDH12,KMT2C,PTPRD,RYR2,TP53,,,,,,,,,
EIF4G1,NCAM1,BRAF,LPHN2,CDH12,NF1,SVEP1,KMT2C,RYR2,TP53,,,,,
NF1,FAT1,PTPRD,RYR2,TP53,,,,,,,,,,
EGFR,SVEP1,TP53,,,,,,,,,,,,
EGFR,AFF2,TP53,,,,,,,,,,,,
SMAD4,CDK12,DNMT3A,CDKN2A,CREBBP,ARID1A,LPHN2,SMARCA4,AFF2,NF1,FAT1,PTPRD,RYR2,TP53,
RB1,MGA,RYR2,TP53,,,,,,,,,,,
COL1A1,CREBBP,AFF2,STK11,RYR2,TP53,,,,,,,,,
MMP2,RBM10,KMT2A,TP53,,,,,,,,,,,
COL1A1,LPHN2,SORCS3,MMP16,NF1,RYR2,TP53,,,,,,,,
RB1,EGFR,TP53,,,,,,,,,,,,
NCAM1,BAZ2B,RBM10,LPHN2,FAT1,SVEP1,RYR2,TP53,,,,,,,
ARID1A,EGFR,ATM,TP53,,,,,,,,,,,
RBM10,EGFR,CDH12,KMT2C,RYR2,TP53,,,,,,,,,
CTNNB1,EIF4G1,NCAM1,PRKCB,CDKN2A,ARID1A,KMT2A,MMP16,SMARCA4,CDH12,KMT2C,KEAP1,RYR2,TP53,
NTRK2,ASXL3,PTPRD,,,,,,,,,,,,
FAT1,KMT2C,PTPRD,RYR2,,,,,,,,,,,
EPHA4,NF1,RYR2,TP53,,,,,,,,,,,
ASXL3,PTPRD,RYR2,,,,,,,,,,,,
EIF4G1,RB1,NF1,TP53,,,,,,,,,,,
EGFR,RYR2,TP53,,,,,,,,,,,,
SMAD4,SETD2,EGFR,,,,,,,,,,,,
SETD2,RBM10,BRAF,EGFR,SVEP1,ASXL3,,,,,,,,,
CREBBP,KMT2A,SMARCA4,KMT2C,PTPRD,RYR2,TP53,,,,,,,,
CDK12,MGA,KDR,NF1,KMT2C,ASXL3,PTPRD,TP53,,,,,,,
BAZ2B,CREBBP,ARID1A,ATM,CDH12,AFF2,SVEP1,KMT2C,ASXL3,RYR2,TP53,,,,
NTRK2,PRKCB,DNMT3A,SMARCA4,CDH12,RYR2,TP53,,,,,,,,
EIF4G1,EPHA4,CDH12,STK11,PTPRD,RYR2,TP53,,,,,,,,
MMP2,CDKN2A,ARID1A,BRAF,LPHN2,EGFR,KDR,ATM,MMP16,SVEP1,ASXL3,PTPRD,RYR2,TP53,
