CTNNB1,PRKCB,BRAF,LPHN2,KEAP1,RYR2,,,,,,,
MGA,KEAP1,RYR2,,,,,,,,,,
COL1A1,CDH12,KEAP1,RYR2,TP53,,,,,,,,
KMT2A,KEAP1,TP53,,,,,,,,,,
AMER1,NF1,ASXL3,KEAP1,RYR2,,,,,,,,
SVEP1,STK11,KEAP1,TP53,,,,,,,,,
NUP98,NTRK2,EPHA4,AMER1,RB1,SETD2,MMP16,SMARCA4,AFF2,KMT2C,KEAP1,RYR2,TP53
KMT2A,STK11,KEAP1,KRAS,TP53,,,,,,,,
FN1,DNMT3A,CDH12,KEAP1,,,,,,,,,
DNMT3A,BRAF,KDR,FAT1,STK11,RYR2,,,,,,,
CTNNB1,AFF2,KEAP1,TP53,,,,,,,,,
CDKN2A,MMP16,AFF2,STK11,KEAP1,RYR2,,,,,,,
EIF4G1,EPHA4,FN1,COL1A1,SETD2,SVEP1,KEAP1,TP53,,,,,
RBM10,STK11,KEAP1,KRAS,RYR2,,,,,,,,
NUP98,ATM,CDH12,STK11,RYR2,,,,,,,,
DNMT3A,FAT1,STK11,KEAP1,KRAS,RYR2,TP53,,,,,,
AMER1,ATM,STK11,ASXL3,KEAP1,,,,,,,,
NCAM1,DNMT3A,LPHN2,KDR,SMARCA4,AFF2,KEAP1,PTPRD,RYR2,,,,
SORCS3,SVEP1,STK11,KEAP1,PTPRD,KRAS,,,,,,,
DNMT3A,RBM10,STK11,KEAP1,KRAS,,,,,,,,
COL1A1,BAZ2B,ARID1A,SETD2,KDR,SORCS3,SMARCA4,NF1,KEAP1,RYR2,,,
KMT2C,KEAP1,KRAS,TP53,,,,,,,,,
CTNNB1,RBM10,KDR,FAT1,,,,,,,,,
CDK12,COL1A1,RB1,FAT1,KEAP1,RYR2,TP53,,,,,,
NUP98,MGA,STK11,ASXL3,KEAP1,PTPRD,KRAS,RYR2,,,,,
NUP98,BAZ2B,FAT1,ASXL3,KEAP1,RYR2,,,,,,,
CDK12,MMP2,STK11,KMT2C,KEAP1,TP53,,,,,,,
KMT2C,KEAP1,RYR2,,,,,,,,,,
COL1A1,KEAP1,RYR2,TP53,,,,,,,,,
CDK12,AMER1,KMT2A,KDR,SMARCA4,FAT1,KEAP1,RYR2,TP53,,,,
COL1A1,SETD2,KMT2A,STK11,RYR2,,,,,,,,
CTNNB1,STK11,KEAP1,,,,,,,,,,
MET,FN1,PRKCB,KMT2A,KDR,SORCS3,MMP16,FAT1,KEAP1,PTPRD,,,
LPHN2,KEAP1,KRAS,,,,,,,,,,
NF1,KEAP1,TP53,,,,,,,,,,
CTNNB1,BRAF,KEAP1,,,,,,,,,,
FN1,MMP2,SMARCA4,,,,,,,,,,
SMAD4,RB1,CDH12,FAT1,SVEP1,STK11,ASXL3,KEAP1,PTPRD,RYR2,,,
SMARCA4,ASXL3,KEAP1,RYR2,,,,,,,,,
EPHA4,CDKN2A,BRAF,ASXL3,KEAP1,RYR2,TP53,,,,,,
CTNNB1,SMARCA4,FAT1,,,,,,,,,,
NTRK2,KEAP1,KRAS,,,,,,,,,,
SMARCA4,KEAP1,KRAS,RYR2,,,,,,,,,
STK11,KEAP1,KRAS,,,,,,,,,,
AFF2,STK11,KEAP1,TP53,,,,,,,,,
SMARCA4,NF1,SVEP1,STK11,RYR2,,,,,,,,
STK11,KEAP1,KRAS,,,,,,,,,,
KMT2C,KEAP1,KRAS,RYR2,,,,,,,,,
EIF4G1,CDK12,CDKN2A,SMARCA4,KEAP1,PTPRD,RYR2,TP53,,,,,
MMP2,CDKN2A,BAZ2B,SMARCA4,AFF2,STK11,KMT2C,ASXL3,PTPRD,RYR2,,,
BAZ2B,RBM10,KDR,SVEP1,STK11,KEAP1,KRAS,RYR2,,,,,
PRKCB,DNMT3A,SORCS3,FAT1,KEAP1,RYR2,TP53,,,,,,
STK11,KEAP1,KRAS,,,,,,,,,,
CTNNB1,KMT2C,KEAP1,RYR2,TP53,,,,,,,,
RBM10,LPHN2,AFF2,KEAP1,KRAS,RYR2,,,,,,,
RB1,SMARCA4,KEAP1,RYR2,TP53,,,,,,,,
ATM,STK11,KEAP1,,,,,,,,,,
PIK3CA,BAZ2B,MGA,MMP16,KEAP1,PTPRD,RYR2,,,,,,
NUP98,AMER1,KEAP1,KRAS,,,,,,,,,
FN1,PRKCB,SMARCA4,NF1,STK11,,,,,,,,
SMARCA4,KEAP1,KRAS,,,,,,,,,,
STK11,KEAP1,KRAS,,,,,,,,,,
ATM,SORCS3,STK11,ASXL3,PTPRD,,,,,,,,
NCAM1,CDK12,LPHN2,KEAP1,TP53,,,,,,,,
RBM10,SVEP1,STK11,ASXL3,KEAP1,KRAS,TP53,,,,,,
CTNNB1,CREBBP,RBM10,EGFR,SORCS3,CDH12,KEAP1,,,,,,
MAP3K4,NCAM1,AMER1,SETD2,KMT2A,SMARCA4,AFF2,KMT2C,KEAP1,RYR2,TP53,,
CREBBP,RBM10,LPHN2,KDR,SORCS3,CDH12,KMT2C,KEAP1,TP53,,,,
CREBBP,ARID1A,MGA,KMT2A,STK11,KEAP1,,,,,,,
ARID1A,KEAP1,KRAS,,,,,,,,,,
